,0
0,7.0
1,2.0
2,9.0
3,2.0
4,9.0
5,4.0
6,1.0
7,5.0
8,4.0
9,9.0
10,9.0
11,5.0
12,3.0
13,7.0
14,4.0
15,0.0
16,6.0
17,5.0
18,1.0
19,5.0
20,4.0
21,9.0
22,1.0
23,7.0
24,9.0
25,7.0
26,5.0
27,2.0
28,6.0
29,4.0
30,5.0
31,3.0
32,9.0
33,4.0
34,1.0
35,5.0
36,1.0
37,8.0
38,1.0
39,2.0
40,2.0
41,8.0
42,6.0
43,0.0
44,8.0
45,1.0
46,1.0
47,9.0
48,3.0
49,0.0
50,6.0
51,9.0
52,9.0
53,3.0
54,4.0
55,9.0
56,7.0
57,9.0
58,5.0
59,2.0
60,4.0
61,5.0
62,2.0
63,4.0
64,0.0
65,6.0
66,8.0
67,2.0
68,6.0
69,7.0
70,4.0
71,2.0
72,3.0
73,6.0
74,0.0
75,2.0
76,0.0
77,5.0
78,1.0
79,2.0
80,2.0
81,6.0
82,7.0
83,3.0
84,4.0
85,4.0
86,0.0
87,0.0
88,0.0
89,2.0
90,6.0
91,3.0
92,0.0
93,5.0
94,6.0
95,9.0
96,2.0
97,9.0
98,8.0
99,8.0
100,4.0
101,9.0
102,4.0
103,1.0
104,0.0
105,7.0
106,9.0
107,6.0
108,8.0
109,8.0
110,7.0
111,7.0
112,6.0
113,5.0
114,7.0
115,6.0
116,6.0
117,1.0
118,9.0
119,3.0
120,6.0
121,0.0
122,4.0
123,9.0
124,6.0
125,1.0
126,4.0
127,6.0
128,2.0
129,7.0
130,8.0
131,1.0
132,5.0
133,2.0
134,3.0
135,0.0
136,6.0
137,5.0
138,1.0
139,3.0
140,8.0
141,3.0
142,8.0
143,4.0
144,0.0
145,2.0
146,0.0
147,4.0
148,3.0
149,9.0
150,1.0
151,9.0
152,7.0
153,2.0
154,1.0
155,6.0
156,6.0
157,2.0
158,3.0
159,0.0
160,8.0
161,0.0
162,8.0
163,1.0
164,5.0
165,7.0
166,1.0
167,4.0
168,0.0
169,8.0
170,4.0
171,1.0
172,0.0
173,8.0
174,2.0
175,0.0
176,7.0
177,3.0
178,4.0
179,1.0
180,1.0
181,9.0
182,3.0
183,8.0
184,4.0
185,6.0
186,1.0
187,3.0
188,5.0
189,8.0
190,3.0
191,2.0
192,8.0
193,4.0
194,2.0
195,2.0
196,1.0
197,6.0
198,8.0
199,8.0
200,9.0
201,9.0
202,2.0
203,9.0
204,1.0
205,0.0
206,6.0
207,3.0
208,5.0
209,6.0
210,9.0
211,1.0
212,5.0
213,7.0
214,4.0
215,8.0
216,7.0
217,6.0
218,7.0
219,8.0
220,7.0
221,2.0
222,6.0
223,9.0
224,5.0
225,0.0
226,4.0
227,6.0
228,9.0
229,8.0
230,0.0
231,9.0
232,6.0
233,7.0
234,0.0
235,3.0
236,5.0
237,2.0
238,7.0
239,6.0
240,0.0
241,3.0
242,3.0
243,8.0
244,6.0
245,9.0
246,9.0
247,3.0
248,0.0
249,4.0
250,3.0
251,5.0
252,3.0
253,0.0
254,3.0
255,9.0
256,3.0
257,9.0
258,8.0
259,4.0
260,8.0
261,4.0
262,3.0
263,9.0
264,6.0
265,3.0
266,8.0
267,7.0
268,6.0
269,8.0
270,1.0
271,5.0
272,5.0
273,3.0
274,5.0
275,4.0
276,4.0
277,9.0
278,0.0
279,8.0
280,4.0
281,5.0
282,0.0
283,7.0
284,3.0
285,7.0
286,2.0
287,5.0
288,7.0
289,8.0
290,1.0
291,1.0
292,5.0
293,0.0
294,6.0
295,3.0
296,5.0
297,7.0
298,8.0
299,6.0
300,9.0
301,3.0
302,1.0
303,6.0
304,6.0
305,3.0
306,1.0
307,3.0
308,4.0
309,9.0
310,2.0
311,6.0
312,9.0
313,0.0
314,2.0
315,0.0
316,4.0
317,4.0
318,6.0
319,7.0
320,3.0
321,9.0
322,4.0
323,4.0
324,6.0
325,1.0
326,4.0
327,7.0
328,4.0
329,4.0
330,0.0
331,4.0
332,6.0
333,8.0
334,0.0
335,8.0
336,3.0
337,0.0
338,8.0
339,3.0
340,6.0
341,7.0
342,4.0
343,6.0
344,3.0
345,9.0
346,6.0
347,8.0
348,2.0
349,6.0
350,1.0
351,2.0
352,9.0
353,3.0
354,5.0
355,9.0
356,3.0
357,8.0
358,9.0
359,8.0
360,1.0
361,5.0
362,9.0
363,7.0
364,6.0
365,0.0
366,1.0
367,2.0
368,9.0
369,9.0
370,8.0
371,8.0
372,3.0
373,9.0
374,3.0
375,6.0
376,6.0
377,6.0
378,5.0
379,7.0
380,7.0
381,6.0
382,2.0
383,0.0
384,7.0
385,9.0
386,0.0
387,8.0
388,5.0
389,8.0
390,1.0
391,2.0
392,2.0
393,5.0
394,0.0
395,2.0
396,1.0
397,9.0
398,6.0
399,2.0
400,2.0
401,6.0
402,1.0
403,2.0
404,2.0
405,7.0
406,5.0
407,0.0
408,9.0
409,6.0
410,7.0
411,7.0
412,0.0
413,8.0
414,0.0
415,3.0
416,5.0
417,4.0
418,2.0
419,1.0
420,7.0
421,9.0
422,5.0
423,3.0
424,7.0
425,0.0
426,7.0
427,7.0
428,9.0
429,7.0
430,1.0
431,5.0
432,9.0
433,0.0
434,4.0
435,5.0
436,4.0
437,8.0
438,3.0
439,9.0
440,8.0
441,1.0
442,7.0
443,4.0
444,5.0
445,4.0
446,7.0
447,6.0
448,5.0
449,9.0
450,3.0
451,4.0
452,4.0
453,6.0
454,0.0
455,4.0
456,8.0
457,8.0
458,6.0
459,7.0
460,4.0
461,6.0
462,0.0
463,9.0
464,1.0
465,9.0
466,5.0
467,0.0
468,5.0
469,5.0
470,8.0
471,5.0
472,6.0
473,6.0
474,3.0
475,6.0
