id,label
0,9
1,9
2,6
3,9
4,2
5,5
6,1
7,4
8,6
9,6
10,0
11,8
12,0
13,4
14,1
15,5
16,0
17,8
18,1
19,9
20,7
21,1
22,7
23,7
24,6
25,5
26,4
27,9
28,4
29,7
30,8
31,1
32,5
33,3
34,1
35,0
36,9
37,1
38,5
39,6
40,5
41,0
42,5
43,2
44,0
45,5
46,0
47,2
48,0
49,1
50,8
51,6
52,8
53,3
54,5
55,0
56,9
57,9
58,9
59,3
60,1
61,1
62,7
63,5
64,7
65,5
66,4
67,7
68,1
69,3
70,3
71,6
72,4
73,9
74,7
75,8
76,2
77,7
78,0
79,8
80,9
81,9
82,9
83,2
84,7
85,7
86,2
87,0
88,0
89,7
90,8
91,2
92,3
93,0
94,6
95,7
96,0
97,6
98,3
99,1
100,2
101,4
102,1
103,0
104,2
105,4
106,9
107,5
108,8
109,9
110,7
111,3
112,3
113,5
114,3
115,2
116,9
117,8
118,8
119,0
120,0
121,7
122,3
123,2
124,3
125,4
126,9
127,0
128,0
129,6
130,5
131,6
132,4
133,6
134,3
135,2
136,2
137,7
138,3
139,2
140,1
141,3
142,9
143,5
144,8
145,3
146,2
147,2
148,7
149,4
150,6
151,5
152,5
153,4
154,3
155,2
156,0
157,7
158,2
159,0
160,4
161,3
162,7
163,6
164,6
165,3
166,6
167,5
168,0
169,5
170,6
171,3
172,0
173,7
174,1
175,3
176,6
177,1
178,5
179,8
180,7
181,7
182,4
183,2
184,9
185,9
186,2
187,5
188,5
189,0
190,8
191,0
192,9
193,5
194,1
195,2
196,4
197,9
198,1
199,2
200,7
201,3
202,1
203,6
204,3
205,5
206,8
207,1
208,0
209,5
210,2
211,2
212,2
213,3
214,2
215,1
216,4
217,6
218,7
219,2
220,4
221,5
222,7
223,3
224,6
225,4
226,4
227,9
228,7
229,0
230,4
231,5
232,9
233,5
234,0
235,6
236,3
237,4
238,0
239,4
240,6
241,5
242,0
243,4
244,9
245,0
246,4
247,2
248,4
249,9
250,0
251,5
252,0
253,4
254,7
255,3
256,1
257,1
258,5
259,9
260,9
261,7
262,4
263,0
264,8
265,7
266,3
267,2
268,8
269,4
270,8
271,6
272,5
273,6
274,9
275,8
276,2
277,1
278,8
279,4
280,1
281,7
282,5
283,3
284,3
285,0
286,5
287,4
288,3
289,5
290,6
291,5
